right_knee_angular_position,right_motor_torque,right_motor_delta
-1.53,-9.5905,0.0388
-1.538,-11.8101,0.0308
-1.546,-11.8765,0.0228
-1.55,-10.7221,0.0188
-1.554,-11.8321,0.0148
-1.558,-11.8634,0.0108
-1.56,-11.2905,0.0088
-1.562,-11.8421,0.0068
-1.564,-11.8602,0.0048
-1.565,-11.5683,0.0038
-1.566,-11.8605,0.0028
-1.5665,-11.7343,0.0023
-1.567,-11.8738,0.0018
-1.5675,-11.8855,0.0013
-1.5678,-11.8199,0.001
-1.568,-11.9049,0.0008
-1.5683,-11.8496,1.5658
-1.5363,-2.6409,1.5338
-1.5043,-11.5058,1.5018
-1.4723,-11.7801,1.4698
-1.4403,-11.8237,1.4378
-1.4083,-11.8086,1.4058
-1.3763,-11.7714,1.3738
-1.3443,-11.7202,1.3418
-1.3123,-11.6567,1.3098
-1.2803,-11.5812,1.2778
-1.2483,-11.4937,1.2458
-1.2163,-11.394,1.2138
-1.1843,-11.2817,1.1818
-1.1523,-11.1574,1.1498
-1.1203,-11.0209,1.1178
-1.0883,-10.8713,1.0858
-1.0563,-10.7098,1.0538
-1.0243,-10.5366,1.0218
-0.9923,-10.3535,0.9898
-0.9603,-10.1598,0.9578
-0.9283,-9.9563,0.9258
-0.8963,-9.741,0.8938
-0.8643,-9.5154,0.8618
-0.8323,-9.28,0.8298
-0.8003,-9.0352,0.7978
-0.7683,-8.7813,0.7658
-0.7363,-8.5189,0.7338
-0.7043,-8.2482,0.7018
-0.6723,-7.9697,0.6698
-0.6403,-7.6838,0.6378
-0.6083,-7.3908,0.6058
-0.5763,-7.0911,0.5738
-0.5443,-6.7861,0.5418
-0.5123,-6.4754,0.5098
-0.4803,-6.1577,0.4778
-0.4483,-5.8342,0.4458
-0.4163,-5.5077,0.4138
-0.3843,-5.1764,0.3818
-0.3523,-4.8385,0.3498
-0.3203,-4.497,0.3178
-0.2883,-4.1514,0.2858
-0.2563,-3.8019,0.2538
-0.2243,-3.4485,0.2218
-0.1923,-3.0915,0.1898
-0.1603,-2.7311,0.1578
-0.1283,-2.3676,0.1258
-0.0963,-2.0012,0.0938
-0.0803,-6.7096,0.0778
-0.0643,-1.8442,0.0618
-0.0483,-1.522,0.0458
-0.0403,-3.841,0.0378
-0.0323,-1.3857,0.0298
-0.0243,-1.2163,0.0218
-0.0203,-2.3791,0.0178
-0.0163,-1.1417,0.0138
-0.0123,-1.0598,0.0098
-0.0103,-1.6373,0.0078
-0.0083,-1.0244,0.0058
-0.0073,-1.3115,0.0048
-0.0063,-0.9893,0.0038
-0.0053,-0.969,0.0028
-0.0048,-1.1088,0.0023
-0.0043,-0.9622,0.0018
-0.0038,-0.9521,0.0013
